"Task: 1, Test Name: shouldn't display wishlist button, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: shouldn't display header menu, DOM Id: DIV__mainmenu__15, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: shouldn't display filter sidebar, DOM Id: filter_col, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 9 products, DOM Id: [id*="DIV__colcolmd__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 9 product wish buttons, DOM Id: [id*="I__tiheart__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 9 product cart buttons, DOM Id: [id*="I__tishopping__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 9 product compare buttons, DOM Id: [id*="I__ticontrols__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 13 itmes in the footor, DOM Id: footer .row li[id*='LI____'], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 3 ribbons on all the products, DOM Id: [id*="SPAN__ribbonoff__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 9 product types on all the products, DOM Id: .grid_item > [id*="A____"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 9 product prices on all the products, DOM Id: [id*="SPAN__newprice__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 3 product old prices on all the products, DOM Id: [id*="SPAN__oldprice__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 18 filter items, DOM Id: [id*="LABEL__containerc__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: should return 4 filter types, DOM Id: [id*="A__opened__"][class="opened"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 2, Test Name: displays filter button, DOM Id: li > [id*="A__openfilter__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 2, Test Name: displays sort icon, DOM Id: [id*="DIV__sortselect__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 2, Test Name: should return 2 products, DOM Id: [id*="DIV__colcolmd__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 2, Test Name: should return 1 ribbon on all the products, DOM Id: [id*="SPAN__ribbonoff__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 2, Test Name: should return 2 product types on all the products, DOM Id: .grid_item > [id*="A____"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 2, Test Name: should return 2 product prices on all the products, DOM Id: [id*="SPAN__newprice__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 2, Test Name: should return 1 product old prices on all the products, DOM Id: [id*="SPAN__oldprice__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 2, Test Name: shouldn't display grid view button, DOM Id: [id*="I__tiviewgrid__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
